#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xrandr, "set resolution for the system"
,polkit,"manages user policies."
,libertinus-font,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
,ueberzugpp,"enables previews in the yazi file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,picom,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,calcurse,"terminal-based organizer for interactive and command line use"
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
,zsh-autosuggestions,"provies auto suggestion in the shell"
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/ArgusGuardian/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/ArgusGuardian/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/ArgusGuardian/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/ArgusGuardian/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,thunar,"GUI file manager."
,thunar-archive-plugin, "archive manager in thunar"
,autopep8,"Python formater."
,brightnessctl, "control laptop brightness."
,clipmenu, "clipboard manager for dwm, uses dmenu."
,discord, "chat and voice."
,flameshot, "best screenshot tool."
,firefox, "best browser around firefox."
,geany, "lightweight DE and has a color picker feature."
,lxappearance, "gtk theme manager."
,sxhkd, "shortcut manager for Xorg."
,telegram-desktop, "telegram app for linux."
,timeshift, "backup manager."
,transmission-gtk, "torrent manager."
,wget,"download tool for unix systems."
,ripgrep, "better grep used in astronvim"
,android-tools, "tools to handle your android phone"
,gnome-disk-utility, "manage your disk"
,lazygit, "cli client of git"
,lsd,"better ls"
,meld,"tool to compare texts"
,ncdu, "tool to manage storage"
,neofetch, "neofetch"
,npm, "js compiler"
,zoxide, "a better cd autojump included."
,duf, "cli storage tool."
,kitty, "second terminal when needed."
,starship, "terminal appearance configuration."
,syncthing, "sync files between machines."
,tldr, "too long didn't read, alernative to man."
,trash-cli, "alternative to rm, moves deleted files to ~/.local/share/Trash/"
,tumbler, "show thumbnails in thunar."
,upower, "show all the informations about battery"
,xfce4-taskmanager, "a gui and minimal task manager"
,kvantum, "apply qt themes to qt applications"
,openssh, "needed to establish ssh connections"
,yazi, "best terminal based file manager"
,unarchiver, "dependency for yazi"
,jq, "dependency for yazi"
,fd, "dependency for yazi"
